ordinal	source_sha	responsible_owner	source_subject	disposition	target_impact	evidence	status	follow_up
1	e782b01ed9e3ab3ea966bf0d1affebbfca229be4	product-owner:tightbeam	feat: record typed wake cancellation provenance	REFACTOR+APPLY	Re-home typed cancellation provenance in current wake lifecycle	source diff; current main wake lifecycle	PLANNED	plan:Required target work item 5
2	54c551dae9875bf38ee5c5540590a2add70828d5	product-owner:tightbeam	fix: derive cancellation accepted event atomically	REFACTOR+APPLY	Preserve atomic accepted-event derivation	source diff; depends on row 1	PLANNED	plan:Required target work item 5
3	d8eddfd22cfaf8d45f33d7da489a8309476c7409	product-owner:tightbeam	fix: preserve wakes during retirement retarget	REFACTOR+APPLY	Preserve wake state during current retirement retargeting	source diff; depends on rows 1-2	PLANNED	plan:Required target work item 5
4	f54afe5c07d79b22d25eb86475ed23265ceb9d0b	product-owner:tightbeam	fix: return public cancellation event identity	REFACTOR+APPLY	Expose public cancellation event identity through current API	source diff; depends on rows 1-3	PLANNED	plan:Required target work item 5
5	6c79ea73051ebe4d68b17968b819b51ff4557009	product-owner:tightbeam	test: preserve liveness after cancellation progress	REFACTOR+APPLY	Retain liveness regression floor for cancellation progress	source test; depends on rows 1-4	PLANNED	plan:Required target work item 5
6	d8bd6ad892f168bdf65259bb372d94ee4f1fd9f4	product-owner:tightbeam	test: pin cancellation event identity boundary	REFACTOR+APPLY	Retain cancellation identity boundary regression floor	source test; depends on rows 1-5	PLANNED	plan:Required target work item 5
7	835ebb3b645e23b67a0682c279111f57bbc5659f	product-owner:tightbeam	Add supported live session tuning CLI	OMIT	Current main has the stronger typed tuning feature	main:edcc0a9d,a5d38df2	COMPLETE	none
8	cc3294067a07712f0c47949c1771defafd702d96	product-owner:tightbeam	Remove unused generic live config API	OMIT	Current main exposes typed tuning without the generic API	main:edcc0a9d and current router	COMPLETE	none
9	662ca58fb0bc4505da267b378961fb17f4e8878b	product-owner:tightbeam	Prove live harness switch and work graph	OMIT	Current main has stronger tuning preconditions and tests	main:693545b6,36aaf721,e1aac5fa,a5d38df2	COMPLETE	none
10	84b0dae88db690ace0ce844e863ef7c9b62b365c	product-owner:tightbeam	Reconcile live smoke runtime redelivery	REFACTOR+APPLY	Restore resident-harness model redelivery in current feature smoke	audits:A1 failed; current gateway refuses same_harness	PLANNED	plan:Required target work item 5
11	20d1d6903129d7f26f16d528ddd07037098f1edb	product-owner:tightbeam	Drop redundant work graph proof	OMIT	Current main retains the stronger nonredundant tuning proof	audits:A1; main tuning tests	COMPLETE	none
12	8ac4794d6b191b608eee3f610f75402f57bf40a9	product-owner:tightbeam	docs: 0.1.x line identity (unmerged offering — 0.1.x org elects it)	OMIT	0.1-line documentation has no 0.2 target effect	source-line-only documentation	COMPLETE	none
13	fe7a9dc3732005c8267160a37694f1c5688af873	product-owner:tightbeam	docs: 0.1.x sign — drop stale PR-only clause about main	OMIT	0.1-line documentation has no 0.2 target effect	source-line-only documentation	COMPLETE	none
14	ce686faee0f10932fb78e30cb6a05c7c74d36654	product-owner:tightbeam	ci: target the 0.1.x maintenance line	OMIT	0.1 branch CI targeting is line-only	source-line-only workflow	COMPLETE	none
15	c96e1b725452fffcbf405531f7d494a38cd7171e	product-owner:tightbeam	Merge 0.1.x into live session tuning	OMIT	Merge topology only; rows 7-14 govern product effects	merge parents; constituent rows 7-14	COMPLETE	none
16	d909a54feba3d81de0887f019ac92bd5d920738a	product-owner:tightbeam	Merge 0.1.x CI target correction	OMIT	Merge topology only; row 14 governs product effect	merge parents; constituent row 14	COMPLETE	none
17	c5c3dc09f6bed5c11946a23fd40929720d560a00	product-owner:tightbeam	Recover after proven adapter death despite cleanup failure	OMIT	Patch-equivalent recovery is on main	git-cherry minus; main:eea3e9a	COMPLETE	none
18	98939d8775fd31bf3e2db5146c5d275e5889839f	product-owner:tightbeam	Add transactional notice publication plans	REFACTOR+APPLY	Preserve transaction-bound notice publication and the retired-session durable-marker case	audits:A3 found retired-audience marker gap	PLANNED	plan:Required target work item 5
19	0e98d4d3f267aed7ef056b5cfed7a5c006b94292	product-owner:tightbeam	Merge current origin/0.1.x into merge sweep	OMIT	Merge topology only; constituent non-merge rows govern	merge parents; exact inventory	COMPLETE	none
20	711a8037a53128459382dd7284194aa38a696fde	product-owner:tightbeam	Merge wi_0abae0fd wake-cancellation provenance fix	OMIT	Merge topology only; rows 1-6 govern target work	merge parents; constituent rows 1-6	COMPLETE	none
21	813af1faa637a20ec6fd80dcc6678aacb0a0cd6a	product-owner:tightbeam	Merge wi_1b0237fe repaired backend chain	OMIT	Merge topology only; constituent non-merge rows govern	merge parents; exact inventory	COMPLETE	none
22	83f9b0b39a7b1672099402648d3238ee2c4bcd8d	product-owner:tightbeam	Project declared files in assignment listings	OMIT	Patch-equivalent projection is on main	git-cherry minus; main:ec6c727a	COMPLETE	none
23	859eb2ab2a392e7179a33efb47a440fbe2710f80	product-owner:tightbeam	Merge 0.1.x into assignment file projection	OMIT	Merge topology only; row 22 and later row 98 govern	merge parents; constituent rows	COMPLETE	none
24	be61cfc98df6b18c0cc280adeca42cba3fbf14b5	product-owner:tightbeam	feat(wire): reconcile message types onto 0.1.x	REFACTOR+APPLY	Add structured marker kind/from/to facts to current open message classes	audits:A2; build ledger records CARD-WIREENVELOPE gap	PLANNED	plan:Required target work item 5
25	5f4341130419c4bae21bdd6c2278185dcd0f89a5	product-owner:tightbeam	feat(execution): record durable command start evidence	RETHINK	Represent process custody as owned rows; mine this evidence case	source diff; 0.2 custody principle	DESIGN-REQUIRED	plan:Required target work item 5
26	7cdeb44adbe220e71504d0770d351094f46d87ea	product-owner:tightbeam	feat: add operator decision request CLI surface	OMIT	Current main has the operator decision surface in the fabric	main:d98ff939,e02cab00 and current CLI	COMPLETE	none
27	b2b1cc3433c72f2d6b09e72ba48493b5d08e14af	product-owner:tightbeam	feat: stage operator decision request core	OMIT	Current main has typed decision request state and lifecycle	main:d98ff939,e02cab00	COMPLETE	none
28	41452a349cf6f6412d18a30eac73e11ce0894583	product-owner:tightbeam	fix(schema): refuse pre-operator decision databases	OMIT	Current main schema owns the newer decision-request shape	main current schema and activation tests	COMPLETE	none
29	03e45a0c570ff8b5b9b2bd6852796f9a97d7d9b1	product-owner:tightbeam	INCIDENT: a failed onboarding must not restore the previous credential	OMIT	Patch-equivalent incident repair is on main	git-cherry minus; main:7c20ed1	COMPLETE	none
30	4cd995f74779e3df04598c1721fbb702bd3a26d1	product-owner:tightbeam	fix: commit the not-onboarded marker BEFORE installing (Sol xhigh, blocking 1+2)	OMIT	Patch-equivalent ordering repair is on main	git-cherry minus; main:1c0bd76	COMPLETE	none
